"Country","2019"
"Afghanistan","6.90"
"Albania","2.21"
"Algeria","0.02"
"Andorra",""
"Angola","1.35"
"Antigua and Barbuda","0.03"
"Argentina","0.06"
"Armenia","1.89"
"Australia",""
"Austria",""
"Azerbaijan","0.40"
"Bahamas",""
"Bahrain",""
"Bangladesh","1.75"
"Barbados",""
"Belarus","0.65"
"Belgium",""
"Belize","5.02"
"Benin","6.28"
"Bhutan","7.54"
"Bolivia (Plurinational State of)","1.53"
"Bosnia and Herzegovina","2.57"
"Botswana","4.88"
"Brazil","0.03"
"Brunei Darussalam",""
"Bulgaria",""
"Burkina Faso","9.19"
"Burundi","14.06"
"Cabo Verde","2.87"
"Cambodia","5.26"
"Cameroon","4.14"
"Canada",""
"Central African Republic","12.80"
"Chad","5.90"
"Chile",""
"China","0.06"
"Colombia","0.07"
"Comoros","5.57"
"Congo","3.35"
"Cook Islands","10.79"
"Costa Rica","0.09"
"Côte d'Ivoire","5.14"
"Croatia",""
"Cuba","0.11"
"Cyprus",""
"Czechia",""
"Democratic People's Republic of Korea","0.63"
"Democratic Republic of the Congo","7.47"
"Denmark",""
"Djibouti","4.84"
"Dominica",""
"Dominican Republic","0.38"
"Ecuador","0.21"
"Egypt","0.10"
"El Salvador","0.44"
"Equatorial Guinea","0.84"
"Eritrea","7.16"
"Estonia",""
"Eswatini","11.97"
"Ethiopia","3.46"
"Fiji","4.97"
"Finland",""
"France",""
"Gabon","2.26"
"Gambia","14.55"
"Georgia","1.47"
"Germany",""
"Ghana","6.45"
"Greece",""
"Grenada","2.09"
"Guatemala","1.10"
"Guinea","7.58"
"Guinea-Bissau","12.86"
"Guyana","2.38"
"Haiti","6.34"
"Honduras","1.23"
"Hungary",""
"Iceland",""
"India","0.22"
"Indonesia","0.36"
"Iran (Islamic Republic of)","0.01"
"Iraq","1.02"
"Ireland",""
"Israel",""
"Italy",""
"Jamaica","0.78"
"Japan",""
"Jordan","3.44"
"Kazakhstan","0.38"
"Kenya","4.51"
"Kiribati","14.28"
"Kuwait",""
"Kyrgyzstan","3.23"
"Lao People's Democratic Republic","6.70"
"Latvia",""
"Lebanon","5.41"
"Lesotho","12.96"
"Liberia","13.38"
"Libya","0.42"
"Lithuania",""
"Luxembourg",""
"Madagascar","2.72"
"Malawi","15.39"
"Malaysia","0.11"
"Maldives","4.00"
"Mali","7.35"
"Malta",""
"Marshall Islands","4.82"
"Mauritania","2.74"
"Mauritius","0.45"
"Mexico","0.03"
"Micronesia (Federated States of)","4.22"
"Monaco",""
"Mongolia","4.85"
"Montenegro","0.28"
"Morocco","0.40"
"Mozambique","7.70"
"Myanmar","2.24"
"Namibia","5.85"
"Nauru","22.95"
"Nepal","2.41"
"Netherlands",""
"New Zealand",""
"Nicaragua","6.08"
"Niger","5.03"
"Nigeria","3.63"
"Niue","26.65"
"Norway",""
"Oman",""
"Pakistan","1.98"
"Palau","8.32"
"Panama","0.65"
"Papua New Guinea","13.91"
"Paraguay","0.80"
"Peru","0.49"
"Philippines","0.68"
"Poland",""
"Portugal",""
"Qatar",""
"Republic of Korea",""
"Republic of Moldova","2.97"
"North Macedonia","0.67"
"Romania",""
"Russian Federation",""
"Rwanda","9.60"
"Saint Kitts and Nevis",""
"Saint Lucia","4.30"
"Saint Vincent and the Grenadines","3.23"
"Samoa","25.61"
"San Marino",""
"Sao Tome and Principe","10.16"
"Saudi Arabia",""
"Senegal","5.79"
"Serbia","3.00"
"Seychelles",""
"Sierra Leone","9.18"
"Singapore",""
"Slovakia",""
"Slovenia",""
"Solomon Islands","9.85"
"Somalia","4.13"
"South Africa","1.88"
"South Sudan","18.90"
"Spain",""
"Sri Lanka","0.76"
"Sudan","2.81"
"Suriname","2.78"
"Sweden",""
"Switzerland",""
"Syrian Arab Republic","1.88"
"Tajikistan","2.89"
"Thailand","0.35"
"Timor-Leste","15.19"
"Togo","3.74"
"Tonga","16.79"
"Trinidad and Tobago",""
"Tunisia","0.33"
"Turkey","0.91"
"Turkmenistan","0.44"
"Tuvalu","17.80"
"Uganda","6.60"
"Ukraine","1.30"
"United Arab Emirates",""
"United Kingdom of Great Britain and Northern Ireland",""
"United Republic of Tanzania","5.17"
"United States of America",""
"Uruguay",""
"Uzbekistan","1.57"
"Vanuatu","14.49"
"Venezuela (Bolivarian Republic of)","0.08"
"Viet Nam","0.84"
"Yemen","6.24"
"Zambia","11.67"
"Zimbabwe","8.19"
