"Country","2018"
"Afghanistan","9.40"
"Albania","5.26"
"Algeria","6.22"
"Andorra","6.71"
"Angola","2.55"
"Antigua and Barbuda","5.23"
"Argentina","9.62"
"Armenia","10.03"
"Australia","9.28"
"Austria","10.33"
"Azerbaijan","3.51"
"Bahamas","6.25"
"Bahrain","4.13"
"Bangladesh","2.34"
"Barbados","6.56"
"Belarus","5.64"
"Belgium","10.32"
"Belize","5.69"
"Benin","2.49"
"Bhutan","3.06"
"Bolivia (Plurinational State of)","6.30"
"Bosnia and Herzegovina","8.90"
"Botswana","5.85"
"Brazil","9.51"
"Brunei Darussalam","2.41"
"Bulgaria","7.35"
"Burkina Faso","5.63"
"Burundi","7.74"
"Cabo Verde","5.36"
"Cambodia","6.03"
"Cameroon","3.53"
"Canada","10.79"
"Central African Republic","10.99"
"Chad","4.10"
"Chile","9.14"
"China","5.35"
"Colombia","7.64"
"Comoros","4.59"
"Congo","2.14"
"Cook Islands","2.88"
"Costa Rica","7.56"
"Côte d'Ivoire","4.19"
"Croatia","6.83"
"Cuba","11.19"
"Cyprus","6.77"
"Czechia","7.65"
"Democratic Republic of the Congo","3.30"
"Denmark","10.07"
"Djibouti","2.32"
"Dominica","6.59"
"Dominican Republic","5.73"
"Ecuador","8.14"
"Egypt","4.95"
"El Salvador","7.11"
"Equatorial Guinea","3.00"
"Eritrea","4.09"
"Estonia","6.69"
"Eswatini","6.54"
"Ethiopia","3.30"
"Fiji","3.42"
"Finland","9.04"
"France","11.26"
"Gabon","2.75"
"Gambia","3.09"
"Georgia","7.11"
"Germany","11.43"
"Ghana","3.54"
"Greece","7.72"
"Grenada","4.46"
"Guatemala","5.71"
"Guinea","3.93"
"Guinea-Bissau","7.00"
"Guyana","5.94"
"Haiti","7.69"
"Honduras","7.05"
"Hungary","6.70"
"Iceland","8.47"
"India","3.54"
"Indonesia","2.87"
"Iran (Islamic Republic of)","8.66"
"Iraq","4.11"
"Ireland","6.93"
"Israel","7.52"
"Italy","8.67"
"Jamaica","6.06"
"Japan","10.95"
"Jordan","7.79"
"Kazakhstan","2.92"
"Kenya","5.17"
"Kiribati","12.11"
"Kuwait","5.00"
"Kyrgyzstan","6.53"
"Lao People's Democratic Republic","2.25"
"Latvia","6.19"
"Lebanon","8.35"
"Lesotho","9.28"
"Liberia","6.74"
"Libya",""
"Lithuania","6.57"
"Luxembourg","5.29"
"Madagascar","4.79"
"Malawi","9.33"
"Malaysia","3.76"
"Maldives","9.41"
"Mali","3.88"
"Malta","8.96"
"Marshall Islands","17.55"
"Mauritania","4.58"
"Mauritius","5.83"
"Mexico","5.37"
"Micronesia (Federated States of)","12.59"
"Monaco","1.60"
"Mongolia","3.79"
"Montenegro","8.42"
"Morocco","5.31"
"Mozambique","8.17"
"Myanmar","4.79"
"Namibia","7.95"
"Nauru","9.58"
"Nepal","5.84"
"Netherlands","9.97"
"New Zealand","9.21"
"Nicaragua","8.56"
"Niger","7.33"
"Nigeria","3.89"
"Niue","8.32"
"Norway","10.05"
"Oman","4.13"
"Pakistan","3.20"
"Palau","10.87"
"Panama","7.27"
"Papua New Guinea","2.37"
"Paraguay","6.65"
"Peru","5.24"
"Philippines","4.40"
"Poland","6.33"
"Portugal","9.41"
"Qatar","2.49"
"Republic of Korea","7.56"
"Republic of Moldova","6.60"
"North Macedonia","6.58"
"Romania","5.56"
"Russian Federation","5.32"
"Rwanda","7.54"
"Saint Kitts and Nevis","5.31"
"Saint Lucia","4.40"
"Saint Vincent and the Grenadines","4.47"
"Samoa","5.21"
"San Marino","7.14"
"Sao Tome and Principe","6.27"
"Saudi Arabia","6.36"
"Senegal","3.98"
"Serbia","8.54"
"Seychelles","5.11"
"Sierra Leone","16.06"
"Singapore","4.46"
"Slovakia","6.69"
"Slovenia","8.30"
"Solomon Islands","4.47"
"South Africa","8.25"
"South Sudan","6.40"
"Spain","8.98"
"Sri Lanka","3.76"
"Sudan","4.51"
"Suriname","7.97"
"Sweden","10.90"
"Switzerland","11.88"
"Syrian Arab Republic",""
"Tajikistan","7.24"
"Thailand","3.79"
"Timor-Leste","4.33"
"Togo","6.17"
"Tonga","5.10"
"Trinidad and Tobago","6.93"
"Tunisia","7.29"
"Turkey","4.12"
"Turkmenistan","6.61"
"Tuvalu","19.05"
"Uganda","6.53"
"Ukraine","7.72"
"United Arab Emirates","4.23"
"United Kingdom of Great Britain and Northern Ireland","10.00"
"United Republic of Tanzania","3.63"
"United States of America","16.89"
"Uruguay","9.20"
"Uzbekistan","5.29"
"Vanuatu","3.37"
"Venezuela (Bolivarian Republic of)","3.56"
"Viet Nam","5.92"
"Yemen",""
"Zambia","4.93"
"Zimbabwe","4.73"
