"Country","2019"
"Afghanistan","43"
"Albania","62"
"Algeria","80"
"Andorra","44"
"Angola","63"
"Antigua and Barbuda","No data"
"Argentina","61"
"Armenia","83"
"Australia","92"
"Austria","69"
"Azerbaijan","87"
"Bahamas","62"
"Bahrain","80"
"Bangladesh","67"
"Barbados","No data"
"Belarus","No data"
"Belgium","84"
"Belize","No data"
"Benin","35"
"Bhutan","59"
"Bolivia (Plurinational State of)","No data"
"Bosnia and Herzegovina","35"
"Botswana","30"
"Brazil","87"
"Brunei Darussalam","No data"
"Bulgaria","72"
"Burkina Faso","44"
"Burundi","48"
"Cabo Verde","48"
"Cambodia","50"
"Cameroon","42"
"Canada","99"
"Central African Republic","17"
"Chad","30"
"Chile","76"
"China","93"
"Colombia","69"
"Comoros","27"
"Congo","33"
"Cook Islands","No data"
"Costa Rica","77"
"Côte d'Ivoire","44"
"Croatia","78"
"Cuba","78"
"Cyprus","74"
"Czechia","68"
"Democratic People's Republic of Korea","69"
"Democratic Republic of the Congo","35"
"Denmark","95"
"Djibouti","32"
"Dominica","71"
"Dominican Republic","55"
"Ecuador","77"
"Egypt","83"
"El Salvador","89"
"Equatorial Guinea","22"
"Eritrea","49"
"Estonia","74"
"Eswatini","40"
"Ethiopia","63"
"Fiji","No data"
"Finland","94"
"France","82"
"Gabon","27"
"Gambia","38"
"Georgia","58"
"Germany","88"
"Ghana","49"
"Greece","57"
"Grenada","No data"
"Guatemala","53"
"Guinea","44"
"Guinea-Bissau","25"
"Guyana","88"
"Haiti","No data"
"Honduras","60"
"Hungary","68"
"Iceland","83"
"India","78"
"Indonesia","73"
"Iran (Islamic Republic of)","No data"
"Iraq","58"
"Ireland","64"
"Israel","87"
"Italy","86"
"Jamaica","84"
"Japan","95"
"Jordan","43"
"Kazakhstan","82"
"Kenya","43"
"Kiribati","No data"
"Kuwait","76"
"Kyrgyzstan","47"
"Lao People's Democratic Republic","35"
"Latvia","77"
"Lebanon","73"
"Lesotho","29"
"Liberia","46"
"Libya","54"
"Lithuania","83"
"Luxembourg","97"
"Madagascar","29"
"Malawi","35"
"Malaysia","No data"
"Maldives","51"
"Mali","48"
"Malta","60"
"Marshall Islands","No data"
"Mauritania","35"
"Mauritius","64"
"Mexico","83"
"Micronesia (Federated States of)","35"
"Monaco","81"
"Mongolia","84"
"Montenegro","56"
"Morocco","75"
"Mozambique","60"
"Myanmar","64"
"Namibia","59"
"Nauru","No data"
"Nepal","34"
"Netherlands","90"
"New Zealand","83"
"Nicaragua","78"
"Niger","39"
"Nigeria","51"
"Niue","67"
"Norway","93"
"Oman","86"
"Pakistan","49"
"Palau","63"
"Panama","76"
"Papua New Guinea","21"
"Paraguay","65"
"Peru","48"
"Philippines","53"
"Poland","70"
"Portugal","82"
"Qatar","96"
"Republic of Korea","97"
"Republic of Moldova","60"
"North Macedonia","60"
"Romania","67"
"Russian Federation","99"
"Rwanda","71"
"Saint Kitts and Nevis","51"
"Saint Lucia","69"
"Saint Vincent and the Grenadines","49"
"Samoa","No data"
"San Marino","No data"
"Sao Tome and Principe","32"
"Saudi Arabia","75"
"Senegal","54"
"Serbia","69"
"Seychelles","53"
"Sierra Leone","40"
"Singapore","92"
"Slovakia","73"
"Slovenia","86"
"Solomon Islands","No data"
"Somalia","No data"
"South Africa","70"
"South Sudan","34"
"Spain","85"
"Sri Lanka","54"
"Sudan","57"
"Suriname","57"
"Sweden","92"
"Switzerland","95"
"Syrian Arab Republic","48"
"Tajikistan","62"
"Thailand","85"
"Timor-Leste","37"
"Togo","39"
"Tonga","No data"
"Trinidad and Tobago","53"
"Tunisia","71"
"Turkey","77"
"Turkmenistan","69"
"Tuvalu","No data"
"Uganda","66"
"Ukraine","66"
"United Arab Emirates","96"
"United Kingdom of Great Britain and Northern Ireland","93"
"United Republic of Tanzania","51"
"United States of America","92"
"Uruguay","84"
"Uzbekistan","57"
"Vanuatu","No data"
"Venezuela (Bolivarian Republic of)","70"
"Viet Nam","66"
"Yemen","52"
"Zambia","60"
"Zimbabwe","50"
